date,economy_avg_sent,fed_avg_sent,finance_avg_sent,inflation_avg_sent,interest rate_avg_sent,tech regulation_avg_sent,trade war_avg_sent,trump_avg_sent
10/1/2024,-0.188826923,-0.26415,-0.120433333,-0.52305,0,0,0,-0.027383333
10/2/2024,-0.043433333,0.6179,0.1283,0.1117,0.358866667,0,-0.460233333,0.008844231
10/3/2024,-0.098177778,-0.010933333,0.167066667,0.3094,-0.561633333,0,-0.224975,-0.044945833
10/4/2024,0.110278788,-0.5574,-0.253816667,0.4939,0.10555,0,-0.25535,-0.233012903
10/5/2024,-0.2896,0.3182,-0.6751,0,0,0,0,-0.187015
10/6/2024,0.036966667,0.0387,0,0,0.3182,0.5423,0.6369,-0.052392857
10/8/2024,-0.111984615,0.37155,-0.3245,0.0129,0.8516,0,0.106066667,0.137481818
10/9/2024,-0.063907143,0.1825,0.00351,0.079366667,-0.6249,0.0516,0,0.018391176
10/10/2024,0.060995,0.468566667,0.0218,0.182733333,0.2291,0,0.18495,-0.031328571
10/11/2024,0.167836842,0.671433333,0.04185,-0.2278,0.5106,0.1779,0,0.121064865
10/12/2024,0.072152381,0,-0.335,0.4215,0,0,0.128,0.009304762
10/13/2024,0.05597,0,0.1357,0,0.1073,0,0,0.0663
10/15/2024,0.106125,0.460833333,0.0652,0,0.6369,-0.4767,-0.182666667,0.030186667
10/16/2024,-0.067804348,-0.422033333,-0.070542857,0,0,0,-0.2893,-0.040154545
10/17/2024,0.077810526,-0.4157,0.041528571,0.0694,-0.313275,0,-0.1472,-0.051233333
10/18/2024,-0.217068421,0.162833333,-0.047525,0,0.3399,0.6808,0,0.029877778
10/19/2024,-0.110846154,-0.9081,0.029677778,0.1222,-0.2732,0,0,-0.304853846
10/20/2024,-0.341344444,0.0258,-0.03296,-0.5994,0,0,-0.8032,-0.007661538
10/22/2024,-0.04968,0.06575,0.019283333,0.3889,-0.0622,0,-0.2617,0.0249375
10/23/2024,0.037805263,0,0.12405,-0.6145,0.384833333,-0.4215,-0.2981,0.016681579
10/24/2024,-0.13601,-0.225566667,0.343725,0.340133333,-0.088475,0,-0.120675,-0.110564103
10/25/2024,0.115940741,-0.029933333,0.3276,0,0.255933333,0,0.346166667,-0.053294737
10/26/2024,-0.02596875,0.27115,-0.09505,0.08295,-0.1779,0,-0.48385,0.060174194
10/27/2024,0.036645455,-0.295333333,-0.5267,-0.17875,-0.7227,0,0.34,-0.150326087
10/29/2024,-0.05015,0,0.278833333,0.051833333,0.0258,0,-0.17442,-0.054491667
10/30/2024,0.014145833,-0.0362,-0.105563636,0.18566,0.0508,0.765,-0.17728,-0.039008889
10/31/2024,-0.051212,0,0.24165,0.2986,-0.1992,-0.2263,-0.05135,-0.067292453
11/1/2024,-0.076163636,-0.18455,-0.04649,0.148,0.197433333,0,0.5925,-0.178036735
11/2/2024,-0.102516667,-0.296,0.202533333,0.1858,0,0,0.67525,-0.094377778
11/3/2024,-0.000909375,0.5719,0.040516667,-0.1485,0,0,-0.6705,0.014229032
11/5/2024,-0.018119048,0,0.198358333,0,0.6705,0,-0.9274,-0.091721538
11/6/2024,0.050906667,0.245875,0.51338,0.07508,0,-0.3116,-0.224466667,0.087973563
11/7/2024,0.058078125,0.080914286,0.184733333,-0.2401,-0.2732,0.25,-0.21935,0.037195556
11/8/2024,0.128136,0.055633333,0.240733333,0,0.0207,0,-0.16525,0.07255
11/9/2024,0.288414286,-0.9133,-0.0789,-0.7184,-0.4822,0.269633333,-0.539233333,0.116266667
11/10/2024,0.26338,-0.4215,0.802,0.0516,0,0.4005,-0.40475,-0.1802
11/12/2024,-0.028325,0.8519,-0.204775,0.0964,0,0,0.56465,0.102668571
11/13/2024,-0.070590909,0.165633333,0.317966667,-0.029766667,-0.4302,-0.7717,0.29695,0.167298113
11/14/2024,0.263892308,0.177233333,0.365425,-0.065816667,0.0794,-0.1582,-0.291766667,0.005523636
11/15/2024,0.0933,0.515925,0.624616667,-0.029133333,0,0,0,0.07728913
11/16/2024,-0.2129,0.4588,-0.443,0,-0.5574,0,-0.0516,-0.021879167
11/17/2024,-0.34303,0,0.207866667,0.0721,0,0,0.296,-0.131153333
11/19/2024,-0.095894444,0.172,-0.01196,0.138525,-0.5495,-0.0516,0,-0.132303226
11/20/2024,-0.226342857,-0.49775,0.009325,0.2161625,-0.2617,0,-0.38585,-0.002967391
11/21/2024,0.017873333,-0.2846,0.14545,0,0.026,-0.2732,0.2616,-0.088115789
11/22/2024,0.146538462,-0.167233333,-0.027233333,0,0.296,0,-0.0258,-0.078402632
11/23/2024,-0.04665,0.08394,0.21655,0.16075,0,0,0.096733333,0.200119048
11/24/2024,0.022433333,-0.7096,0.1403,-0.34275,0,0,-0.8658,0.158741667
11/26/2024,-0.092045455,0.52,-0.529975,0,-0.3612,0,-0.05772,-0.119244118
11/27/2024,-0.444890909,0.002466667,-0.431133333,-0.02742,0.432933333,0.0408,-0.0959,-0.16075
11/28/2024,-0.029686667,0,0.3818,0.0772,0.043533333,0.1027,-0.0258,0.11018125
