Date,Close,High,Low,Open,Volume,,,
,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,return,access
9/24/2020,3246.590088,3278.699951,3209.449951,3226.139893,4601920000,,0.006338905,positive
9/25/2020,3298.459961,3306.879883,3228.439941,3236.659912,3803330000,,0.019093773,positive
9/28/2020,3351.600098,3360.73999,3332.909912,3333.899902,3950910000,,0.005309156,positive
9/29/2020,3335.469971,3357.919922,3327.540039,3350.919922,3661590000,,-0.00461066,negative
9/30/2020,3363,3393.560059,3340.469971,3341.209961,4738640000,,0.006521601,positive
10/1/2020,3380.800049,3397.179932,3361.389893,3385.870117,4076340000,,-0.00149742,negative
10/2/2020,3348.419922,3369.100098,3323.689941,3338.939941,3975180000,,0.002839219,positive
10/5/2020,3408.600098,3409.570068,3367.27002,3367.27002,3692720000,,0.012274061,positive
10/6/2020,3360.969971,3431.560059,3354.540039,3408.73999,4453390000,,-0.014013982,negative
10/7/2020,3419.439941,3426.26001,3384.560059,3384.560059,3814750000,,0.010305588,positive
10/8/2020,3446.830078,3447.280029,3428.149902,3434.280029,3867640000,,0.003654346,positive
10/9/2020,3477.139893,3482.340088,3458.070068,3459.669922,3944090000,,0.005049606,positive
10/12/2020,3534.219971,3549.850098,3499.610107,3500.02002,3435760000,,0.009771359,positive
10/13/2020,3511.929932,3534.01001,3500.860107,3534.01001,3611100000,,-0.006247882,negative
10/14/2020,3488.669922,3527.939941,3480.550049,3515.469971,3858510000,,-0.007623461,negative
10/15/2020,3483.340088,3489.080078,3440.889893,3453.719971,3724550000,,0.008576294,positive
10/16/2020,3483.810059,3515.76001,3480.449951,3493.5,4688030000,,-0.002773706,negative
10/19/2020,3426.919922,3502.419922,3419.929932,3493.659912,4091080000,,-0.019103173,negative
10/20/2020,3443.120117,3476.929932,3435.649902,3439.379883,3917850000,,0.001087473,positive
10/21/2020,3435.560059,3464.860107,3433.060059,3439.909912,4103960000,,-0.001264525,negative
10/22/2020,3453.48999,3460.530029,3415.340088,3438.5,4172060000,,0.004359456,positive
10/23/2020,3465.389893,3466.459961,3440.449951,3464.899902,3651600000,,0.000141415,positive
10/26/2020,3400.969971,3441.419922,3364.860107,3441.419922,4002210000,,-0.011753855,negative
10/27/2020,3390.679932,3409.51001,3388.709961,3403.149902,3962400000,,-0.003664244,negative
10/28/2020,3271.030029,3342.47998,3268.889893,3342.47998,5139970000,,-0.021376329,negative
10/29/2020,3310.110107,3341.050049,3259.820068,3277.169922,4911860000,,0.010051412,positive
10/30/2020,3269.959961,3304.929932,3233.939941,3293.590088,4843930000,,-0.00717458,negative
11/2/2020,3310.23999,3330.139893,3279.73999,3296.199951,4314690000,,0.004259462,positive
11/3/2020,3369.159912,3389.48999,3336.25,3336.25,4241380000,,0.009864342,positive
11/4/2020,3443.439941,3486.25,3405.169922,3406.459961,4790400000,,0.010855839,positive
11/5/2020,3510.449951,3529.050049,3485.73999,3485.73999,4858150000,,0.007088871,positive
11/6/2020,3509.439941,3521.580078,3484.340088,3508.340088,4842460000,,0.000313497,positive
11/9/2020,3550.5,3645.98999,3547.47998,3583.040039,8570510000,,-0.009081684,negative
11/10/2020,3545.530029,3557.219971,3511.909912,3543.26001,6037470000,,0.000640658,positive
11/11/2020,3572.659912,3581.159912,3557,3563.219971,4635560000,,0.002649273,positive
11/12/2020,3537.01001,3569.02002,3518.580078,3562.669922,4909660000,,-0.007202439,negative
11/13/2020,3585.149902,3593.659912,3552.570068,3552.570068,4719580000,,0.009170779,positive
11/16/2020,3626.909912,3628.51001,3600.159912,3600.159912,5295510000,,0.007430226,positive
11/17/2020,3609.530029,3623.110107,3588.679932,3610.310059,4812180000,,-0.000216056,negative
